id,is_churned,recency_days,frequency_180d,monetary_180d,r_score,f_score,m_score,risk_points,risk_segment
825,0,1,577.0,50086.82,2.0,3.0,4.0,9.0,Medium
1746,0,0,280.0,29880.34,2.0,2.0,3.0,11.0,High
1718,0,0,1298.0,48223.08,2.0,4.0,4.0,8.0,Medium
708,0,0,430.0,65178.01,2.0,3.0,4.0,9.0,Medium
1164,0,0,446.0,45169.48,2.0,3.0,4.0,9.0,Medium
68,0,0,605.0,36980.29,2.0,3.0,4.0,9.0,Medium
1075,0,0,1038.0,42405.85,2.0,4.0,4.0,8.0,Medium
1711,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1116,0,0,794.0,50966.74,2.0,4.0,4.0,8.0,Medium
1752,0,0,881.0,47066.75,2.0,4.0,4.0,8.0,Medium
192,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
640,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1679,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1094,0,0,274.0,19203.0,2.0,2.0,2.0,12.0,High
1590,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1660,0,0,475.0,17048.42,2.0,3.0,2.0,11.0,High
1747,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
153,0,0,189.0,16464.78,2.0,2.0,2.0,12.0,High
429,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
511,0,0,1160.0,59924.75,2.0,4.0,4.0,8.0,Medium
309,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
777,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1946,0,0,500.0,18867.69,2.0,3.0,2.0,11.0,High
1674,0,0,252.0,12098.8,2.0,2.0,2.0,12.0,High
482,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
877,0,0,482.0,35506.07,2.0,3.0,4.0,9.0,Medium
128,0,0,401.0,22202.92,2.0,2.0,3.0,11.0,High
775,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1536,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
140,0,0,589.0,23078.3,2.0,3.0,3.0,10.0,Medium
1884,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1874,0,0,427.0,20735.7,2.0,3.0,3.0,10.0,Medium
1310,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1689,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
379,0,0,1243.0,36750.36,2.0,4.0,4.0,8.0,Medium
34,0,0,652.0,31233.06,2.0,4.0,3.0,9.0,Medium
822,0,0,351.0,16527.37,2.0,2.0,2.0,12.0,High
1499,0,0,226.0,12725.68,2.0,2.0,2.0,12.0,High
1780,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1806,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
811,0,0,673.0,48831.04,2.0,4.0,4.0,8.0,Medium
1844,0,0,506.0,19514.22,2.0,3.0,2.0,11.0,High
1852,0,0,910.0,47424.99,2.0,4.0,4.0,8.0,Medium
1231,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
970,0,0,676.0,24581.829999999998,2.0,4.0,3.0,9.0,Medium
381,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1134,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1296,0,0,1067.0,27099.17,2.0,4.0,3.0,9.0,Medium
1880,0,0,572.0,24582.77,2.0,3.0,3.0,10.0,Medium
322,0,0,308.0,9057.5,2.0,2.0,2.0,12.0,High
461,0,0,1134.0,46919.27,2.0,4.0,4.0,8.0,Medium
1165,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1448,0,0,954.0,40665.67,2.0,4.0,4.0,8.0,Medium
1288,0,0,531.0,30704.57,2.0,3.0,3.0,10.0,Medium
1178,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1391,0,0,1015.0,46364.69,2.0,4.0,4.0,8.0,Medium
838,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
54,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1452,0,0,1270.0,105733.7,2.0,4.0,4.0,8.0,Medium
1602,0,2,217.0,12638.25,2.0,2.0,2.0,12.0,High
1938,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1492,0,0,634.0,30205.73,2.0,4.0,3.0,9.0,Medium
688,0,0,652.0,22256.01,2.0,4.0,3.0,9.0,Medium
749,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
643,0,0,633.0,21172.57,2.0,4.0,3.0,9.0,Medium
1219,0,0,501.0,36144.97,2.0,3.0,4.0,9.0,Medium
1198,0,0,860.0,35235.39,2.0,4.0,4.0,8.0,Medium
898,0,0,416.0,14405.33,2.0,2.0,2.0,12.0,High
882,0,0,403.0,18420.14,2.0,2.0,2.0,12.0,High
348,0,0,245.0,15560.91,2.0,2.0,2.0,12.0,High
633,0,0,241.0,22589.29,2.0,2.0,3.0,11.0,High
1493,0,0,361.0,34248.7,2.0,2.0,4.0,10.0,Medium
1161,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
217,0,0,531.0,19291.13,2.0,3.0,2.0,11.0,High
1877,0,0,659.0,47680.39,2.0,4.0,4.0,8.0,Medium
668,0,0,673.0,19959.18,2.0,4.0,2.0,10.0,Medium
533,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
203,0,0,321.0,23376.56,2.0,2.0,3.0,11.0,High
1738,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
713,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1631,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1487,0,0,638.0,60397.15,2.0,4.0,4.0,8.0,Medium
1265,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
370,0,0,401.0,15304.73,2.0,2.0,2.0,12.0,High
1014,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
290,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
985,0,0,561.0,51807.52,2.0,3.0,4.0,9.0,Medium
135,0,0,791.0,44322.78,2.0,4.0,4.0,8.0,Medium
307,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1783,0,0,578.0,16837.39,2.0,3.0,2.0,11.0,High
1321,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
