cohort_month,period_number,retained_users,cohort_size,retention_rate
1991-01-01,228,1,1,1.0
1991-01-01,229,1,1,1.0
1991-01-01,230,1,1,1.0
1991-01-01,231,1,1,1.0
1991-01-01,232,1,1,1.0
1991-01-01,233,1,1,1.0
1991-01-01,234,1,1,1.0
1991-01-01,235,1,1,1.0
1991-01-01,236,1,1,1.0
1991-01-01,237,1,1,1.0
1991-01-01,238,1,1,1.0
1991-01-01,239,1,1,1.0
1991-01-01,240,1,1,1.0
1991-01-01,241,1,1,1.0
1991-01-01,242,1,1,1.0
1991-01-01,243,1,1,1.0
1991-01-01,244,1,1,1.0
1991-01-01,245,1,1,1.0
1991-01-01,246,1,1,1.0
1991-01-01,247,1,1,1.0
1991-01-01,248,1,1,1.0
1991-01-01,249,1,1,1.0
1991-01-01,250,1,1,1.0
1991-01-01,251,1,1,1.0
1991-01-01,252,1,1,1.0
1991-01-01,253,1,1,1.0
1991-01-01,254,1,1,1.0
1991-01-01,255,1,1,1.0
1991-01-01,256,1,1,1.0
1991-01-01,257,1,1,1.0
1991-01-01,258,1,1,1.0
1991-01-01,259,1,1,1.0
1991-01-01,260,1,1,1.0
1991-01-01,261,1,1,1.0
1991-01-01,262,1,1,1.0
1991-01-01,263,1,1,1.0
1991-01-01,264,1,1,1.0
1991-01-01,265,1,1,1.0
1991-01-01,266,1,1,1.0
1991-01-01,267,1,1,1.0
1991-01-01,268,1,1,1.0
1991-01-01,269,1,1,1.0
1991-01-01,270,1,1,1.0
1991-01-01,271,1,1,1.0
1991-01-01,272,1,1,1.0
1991-01-01,273,1,1,1.0
1991-01-01,274,1,1,1.0
1991-01-01,275,1,1,1.0
1991-01-01,276,1,1,1.0
1991-01-01,277,1,1,1.0
1991-01-01,278,1,1,1.0
1991-01-01,279,1,1,1.0
1991-01-01,280,1,1,1.0
1991-01-01,281,1,1,1.0
1991-01-01,282,1,1,1.0
1991-01-01,283,1,1,1.0
1991-01-01,284,1,1,1.0
1991-01-01,285,1,1,1.0
1991-01-01,286,1,1,1.0
1991-01-01,287,1,1,1.0
1991-01-01,288,1,1,1.0
1991-01-01,289,1,1,1.0
1991-01-01,290,1,1,1.0
1991-01-01,291,1,1,1.0
1991-01-01,292,1,1,1.0
1991-01-01,293,1,1,1.0
1991-01-01,294,1,1,1.0
1991-01-01,295,1,1,1.0
1991-01-01,296,1,1,1.0
1991-01-01,297,1,1,1.0
1991-01-01,298,1,1,1.0
1991-01-01,299,1,1,1.0
1991-01-01,300,1,1,1.0
1991-01-01,301,1,1,1.0
1991-01-01,302,1,1,1.0
1991-01-01,303,1,1,1.0
1991-01-01,304,1,1,1.0
1991-01-01,305,1,1,1.0
1991-01-01,306,1,1,1.0
1991-01-01,307,1,1,1.0
1991-01-01,308,1,1,1.0
1991-01-01,309,1,1,1.0
1991-01-01,310,1,1,1.0
1991-01-01,311,1,1,1.0
1991-01-01,312,1,1,1.0
1991-01-01,313,1,1,1.0
1991-01-01,314,1,1,1.0
1991-01-01,315,1,1,1.0
1991-01-01,316,1,1,1.0
1991-01-01,317,1,1,1.0
1991-01-01,318,1,1,1.0
1991-01-01,319,1,1,1.0
1991-01-01,320,1,1,1.0
1991-01-01,321,1,1,1.0
1991-01-01,322,1,1,1.0
1991-01-01,323,1,1,1.0
1991-01-01,324,1,1,1.0
1991-01-01,325,1,1,1.0
1991-01-01,326,1,1,1.0
1991-01-01,327,1,1,1.0
1991-01-01,328,1,1,1.0
1991-01-01,329,1,1,1.0
1991-01-01,330,1,1,1.0
1991-01-01,331,1,1,1.0
1991-01-01,332,1,1,1.0
1991-01-01,333,1,1,1.0
1991-01-01,334,1,1,1.0
1991-01-01,335,1,1,1.0
1991-01-01,336,1,1,1.0
1991-01-01,337,1,1,1.0
1991-01-01,338,1,1,1.0
1991-01-01,339,1,1,1.0
1991-01-01,340,1,1,1.0
1991-01-01,341,1,1,1.0
1991-01-01,342,1,1,1.0
1991-01-01,343,1,1,1.0
1991-01-01,344,1,1,1.0
1991-01-01,345,1,1,1.0
1991-07-01,222,1,1,1.0
1991-07-01,223,1,1,1.0
1991-07-01,224,1,1,1.0
1991-07-01,225,1,1,1.0
1991-07-01,226,1,1,1.0
1991-07-01,227,1,1,1.0
1991-07-01,228,1,1,1.0
1991-07-01,229,1,1,1.0
1991-07-01,230,1,1,1.0
1991-07-01,231,1,1,1.0
1991-07-01,232,1,1,1.0
1991-07-01,233,1,1,1.0
1991-07-01,234,1,1,1.0
1991-07-01,235,1,1,1.0
1991-07-01,236,1,1,1.0
1991-07-01,237,1,1,1.0
1991-07-01,238,1,1,1.0
1991-07-01,239,1,1,1.0
1991-07-01,240,1,1,1.0
1991-07-01,241,1,1,1.0
1991-07-01,242,1,1,1.0
1991-07-01,243,1,1,1.0
1991-07-01,244,1,1,1.0
1991-07-01,245,1,1,1.0
1991-07-01,246,1,1,1.0
1991-07-01,247,1,1,1.0
1991-07-01,248,1,1,1.0
1991-07-01,249,1,1,1.0
1991-07-01,250,1,1,1.0
1991-07-01,251,1,1,1.0
